"title","author","abstract","meta_raw","submission_date_text","submission_date","doi","announced_date_text","originally_announced"
"Empirical prediction of plasma emission measure distributions and X-EUV spectra of late-type stars","      
      Antonio Maggio, 
      
      Ignazio Pillitteri, 
      
      Jorge Sanz-Forcada, 
      
      Giuseppina Micela","High-energy emission spectra from the outer atmospheres of late-type stars represent an important feature of the stellar activity in several contexts, such as the photoevaporation and photochemistry of planetary atmospheres or the modeling of irradiated circumstellar disks in young objects. An accurate determination of these spectra in the EUV and soft X-ray (XUV) band requires high-resolution spectroscopy, that is rarely feasible with current instrumentation. We employed a relatively large set of plasma emission measure distributions (EMDs) as a function of temperature, derived from FUV and X-ray emission line spectra acquired with the Hubble Space Telescope and Chandra or XMM-Newton, in order to devise a relatively simple recipe for predicting EMDs and XUV spectra of stars of different spectral types, activity levels, and plasma metallicity. We show that the EMDs in the range of temperatures between 10^4 K and 10^7.5 K can be described using the stellar surface X-ray flux as a control parameter, but this parameterization also depends on the spectral type. In particular, we find that M-type stars show slightly lower emission measure at temperatures below ~10^5 K and higher emission measures for T > ~10^6.5 K with respect to FGK stars with similar surface X-ray fluxes. We evaluated the uncertainties in the broad-band EUV and X-ray fluxes derived from synthetic EMDs and spectra, considering in the error budget also the limited knowledge of the chemical abundances in stellar outer atmospheres.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Characterization of type Ibn SNe","      
      D. Farias, 
      
      C. Gall, 
      
      V. A. Villar, 
      
      K. Auchettl, 
      
      K. M. de Soto, 
      
      A. Gagliano, 
      
      W. B. Hoogendam, 
      
      G. Narayan, 
      
      A. Sedgewick, 
      
      S. K. Yadavalli, 
      
      Y. Zenati, 
      
      C. R. Angus, 
      
      K. W. Davis, 
      
      J. Hjorth, 
      
      W. V. Jacobson-Galán, 
      
      D. O. Jones, 
      
      C. D. Kilpatrick, 
      
      M. J. Bustamante Rosell, 
      
      D. A. Coulter, 
      
      G. Dimitriadis, 
      
      R. J. Foley, 
      
      A. Gangopadhyay, 
      
      H. Gao, 
      
      M. E. Huber, 
      
      L. Izzo
      , et al. (7 additional authors not shown)","Type Ibn supernovae (SNe) are characterized by narrow helium (He I) lines from photons produced by the unshocked circumstellar material (CSM). About 80 SNe Ibn have been discovered to date, and only a handful have extensive observational records. Thus, many open questions regarding the progenitor system and the origin of the CSM remain. Here we investigate potential correlations between the spectral features of the prominent He I $λ$5876 line and the optical and X-ray light curve properties of SNe Ibn. We compile the largest sample of 61 SNe Ibn to date, of which 24 SNe have photometric and spectroscopic data from the Young Supernova Experiment and 37 SNe have archival data sets. We fit 24 SNe Ibn with sufficient photometric coverage ($B$ to $z$ bands) using semi-analytical models from MOSFiT. We demonstrate that the light curves of SNe Ibn are more diverse than previous analyses suggest, with absolute $r$-band peak magnitudes of $-19.4\pm0.6$~mag and rise (from $-10$ days to peak) and decay-rates (from peak to +10 days) of $-0.08\pm0.06$ and $0.08\pm0.03$ mag/day, respectively. We find that the majority of SNe Ibn in the sub-sample are consistent with a low-energy explosion ($<10^{51}$ erg) of a star with a compact envelope surrounded by $\sim$0.1 M$_{\odot}$ of helium-rich CSM. The inferred ejecta masses are small ($\sim 1$ M$_{\odot}$) and expand with a velocity of $\sim$5000 km/s. Our spectroscopic analysis shows that the mean velocity of the narrow component of the He I lines, associated to the CSM, peaks at $\sim1100$ km/s. The mean CSM and ejecta masses inferred for a sub-sample of SNe Ibn indicate that their progenitors are not massive ($\sim10$ M$_{\odot}$), single stars at the moment of explosion, but are likely binary systems. This agrees with the detection of potential companion stars of SNe Ibn progenitors, and the inferred CSM properties from stellar evolution models.
        △ Less","Submitted 15 November, 2025; 
      originally announced November 2025.","15 November, 2025",2025-11-15,NA,"November 2025",2025-11-01
"QuaRT: A toolkit for the exploration of quantum methods for radiation transport","      
      Rasmit Devkota, 
      
      John H. Wise","QuaRT is a Python library for quantum simulation of radiative transfer in astrophysical and cosmological problems. It features a novel angular redistribution methodology for lattice Boltzmann methods which improves the isotropy of simulations of objects such as stars in non-scattering media.
        △ Less","Submitted 15 November, 2025; 
      originally announced November 2025.","15 November, 2025",2025-11-15,NA,"November 2025",2025-11-01
"Pre-Supernova Multiple Giant Eruptions in Massive Stars","      
      Bhawna Mukhija, 
      
      Amit Kashi","Massive stars can exhibit giant eruptions with high mass loss shortly before their explosion as a core-collapse Supernova. These multiple giant eruptions (MGEs) may have a commutative effect that brings the star to a different state, possible one that favors the explosion. To address this problem, we evolve a 100 solar mass star and initiate a series of three giant eruptions lasting one year each, testing different mass loss rates and different metallicities. Following each eruption, we track the recovery phase to examine the post-eruption behavior of the star and its recovery timescale. The MGEs lead to a decrease in luminosity, accompanied by a slight increase in temperature. Later, during the recovery phases as the star starts to retain its equilibrium state, its luminosity increases. The recovery time-scale varies significantly after each eruption for independent on the mass loss rate, but it is shorter for lower metallicities. For the higher mass-loss rates during the recovery phase, the outer layers of the star exhibit oscillations and undergo compression at higher metallicity. These oscillations are most likely a consequence of thermal imbalance in the outer envelope. This behavior at higher mass-loss rates also suggests that the thermal readjustments during recovery may create favorable conditions for a subsequent eruption of the star.
        △ Less","Submitted 15 November, 2025; 
      originally announced November 2025.","15 November, 2025",2025-11-15,NA,"November 2025",2025-11-01
"Modeling stellar convective transport with plumes : II. Transport Properties of Locally and Non-locally driven Convection","      
      Youhei Masada, 
      
      Tomoya Takiwaki, 
      
      Nobumitsu Yoko","We perform three-dimensional hydrodynamic simulations of two idealized regimes of stellar convection: a cooling-driven model (Model C) and an entropy-gradient-driven model (Model S). The two regimes exhibit striking contrasts: while Model S develops large, relatively stationary eddies excited at depth, Model C is dominated near the surface by intermittent plume-like downflows that produce broad non-Gaussian velocity distributions and a turbulent energy flux that exceeds Model S by nearly an order of magnitude in the upper convection zone. Conventional gradient-diffusion (GD) closures reproduce the transport in Model S but significantly underestimate it in Model C, demonstrating that plume-driven convection lies beyond the scope of local, gradient-based models. To address this, we introduce a Time-Space Double Averaging (TSDA) method that extracts coherent fluctuations, yielding a diagnostic variable $\tilde{\boldsymbol{u}}$ that peaks where the flux is largest. Building on this insight, we propose a modified GD closure in which the turbulent diffusivity is corrected by a plume-mediated term, achieving quantitative agreement with simulation results. Although the closure requires a calibrated model parameter and a careful choice of the averaging window, it provides a physically transparent framework that links coherent plume dynamics to mean-field transport, and offers a pathway toward improved subgrid models for non-equilibrium stellar convection zones.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
"Orbital Eccentricities Suggest a Gradual Transition from Giant Planets to Brown Dwarfs","      
      Gregory J. Gilbert, 
      
      Judah Van Zandt, 
      
      Erik A. Petigura, 
      
      Steven Giacalone, 
      
      Andrew W. Howard, 
      
      Luke B. Handley","To date, hundreds of sub-stellar objects with masses between $1-80\ M_{\rm Jup}$ have been detected orbiting main-sequence stars. The current convention uses the deuterium-burning limit, $M_c \approx 13 M_{\rm Jup}$ to divide this population between giant planets and brown dwarfs. However, this classification heuristic is largely divorced from any formation physics and may not accurately reflect the astrophysical nature of these objects. Previous work has suggested that a transition from ``planet-like'' to ``brown-dwarf-like'' characteristics occurs somewhere in the range $1-10 M_{\rm Jup}$, but precise the crossover mass and whether the transition is gradual or abrupt remains unknown. Here, we explore how the occurrence rate, host star metallicity, and orbital eccentricities vary as a function of mass in a sample of 70 Doppler-detected sub-stellar objects ($0.8 < M_c/M_{\rm Jup} < 80$) from the California Legacy Survey. Our population consists of objects near and beyond the water ice line ($1 < a / \text{AU} < 10$), providing valuable clues to the details of giant planet formation physics at a location in the proto-stellar disk where planet formation efficiency is thought to be enhanced. We find that occurrence rate, host star metallicity, and orbital eccentricity all change gradually across the mass range under consideration, suggesting that ``bottom-up'' core accretion mechanisms and ``top-down'' gravitational instability mechanisms produce objects that overlap in mass. The observed eccentricity distributions could arise either from different formation channels or from post-formation dynamical interactions between massive sub-stellar objects.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
"On the Temporal Variability in the Magnetic Dichotomy of Late M Dwarf Stars","      
      Giuseppina Nigro, 
      
      Francesco Berrilli, 
      
      Giuseppe Bono, 
      
      Dario Del Moro, 
      
      Luca Giovannelli, 
      
      Valentina Penza, 
      
      Raffaele Reda","Rapidly rotating late M dwarfs are observed in two different branches of magnetic activity, although they operate in the same stellar parameter range. Current empirical evidence indicates that M dwarfs with spectral types ranging from M3 / M4 to late-type M dwarfs, stellar masses smaller than 0.15 M$_\odot$, and rotational period shorter than four days display either a stable dipolar magnetic field or magnetic structures with significant time variability. The magnetic activity of fully convective M dwarfs is known to be regulated by a mechanism named the $α^2$ dynamo. To further constrain the physics of this mechanism, we use a low-dimensional model for thermally driven magnetoconvection producing an $α^2$ dynamo, specifically a modified magnetohydrodynamic (MHD) shell model. Although the model neglects density stratification, it captures the essential nonlinear dynamics of an $α^2$ dynamo. Therefore, the results should be interpreted in a qualitative sense, highlighting possible trends rather than providing direct quantitative predictions for fully convective stars. The model is validated by comparing the statistical properties of magnetic polarity reversals with paleomagnetic data, since the geodynamo provides the only natural $α^2$ dynamo with sufficiently rich reversal statistics. Our findings reveal that increased convective heat transport correlates with more frequent magnetic-polarity reversals, resulting in enhanced magnetic variability. This suggests that the observed magnetic dichotomy in late M dwarfs could be interpreted in terms of differences in global heat transport efficiency. However, additional models and observations of M dwarfs are needed to further constrain this interpretation.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
"Observations of Five Southern-Hemisphere Cataclysmic Binary Stars","      
      John R. Thorstensen, 
      
      Annabelle E. Niblett, 
      
      Shreya Gandhi, 
      
      Lauren P. Zanarini, 
      
      Gavin D. Goss, 
      
      Arnav Singh, 
      
      Divik Verma, 
      
      Ryan C. Hickox, 
      
      Emmanuel A. Durodola, 
      
      Jiaqi Martin Ying","We present observations and analyses of five little-studied cataclysmic binary stars in the southern celestial hemisphere. Our new observations are from the South African Astronomical Observatory. The objects and salient results are as follows: (i) 6dF0752-54 is a dwarf nova with an orbital period Porb = 5.05 hr that shows a contribution from a mid-M type secondary in its mean spectrum. (ii) J0916-26 had been suspected of being a magnetic CV with an eclipse period of 3.37 hr. Our spectrum corroborates this classification. (iii) GSC 08944 is a novalike variable with Porb = 3.80 hr. Archival photometry also shows a persistent photometric period near 4.03 hr, apparently from a positive super- hump. Its emission line behavior is consistent with an SW Sextantis-type novalike. (iv) MGAB-V253, also Gaia20eys, had been identified as a short-period eclipsing novalike with Porb = 1.44 hr. Our spectrum shows shows broad emission lines consistent with this, and the extensive TESS data show a persistent modulation near 1.35 hr, evidently a negative superhump. It is less luminous than most novalikes, but significantly brighter than quiescent dwarf novae with comparably short periods. (v) Finally, DDE 45 shows a complicated variability history, cycling rapidly between high and low states for a time and more recently showing outbursts resembling a U Gem-type dwarf nova. We find a 2.07 hr radial velocity period, which also appears in archival TESS photometry. The emission lines are double-peaked, with an orbital S-wave similar to low-inclination dwarf novae.
  To be published in Astronomical Journal.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
"IdentYS: A Python-Based Tool for Identifying Young Stars in Star-Forming Regions","      
      E. Nikoghosyan, 
      
      D. Baghdasaryan, 
      
      D. Andreasyan, 
      
      N. Azatyan, 
      
      A. Samsonyan, 
      
      A. Yeghikyan","Research on young stellar populations is essential to understand the properties of embedded clusters and advance theories of their formation. This has driven advancements in methodologies for star detection, leading to the development of valuable databases and software. We present the scientific justification and operating principles of the IdentYS tool, which is designed to identify young stellar objects (YSOs) in star-forming regions. The tool facilitates the identification of young stars with infrared (IR) excess in remote and embedded star-forming regions, focusing primarily on Class I and II YSOs. For this purpose, near- and mid-IR photometric data and five colour-colour diagrams (J - H) vs. (H - K), K - [3.6] vs. [3.6] - [4.5], [3.6] - [4.5] vs. [5.8] - [8.0], [3.6] - [4.5] vs. [8.0] - [24], and [3.4] - [4.6] vs. [4.6] - [12] are used. The purity of the YSOs sample is enhanced by excluding field contamination from stellar and extragalactic objects. As a result, we compile a list of YSO candidates displaying the source designation, astrometric, and photometric parameters, as well as information on the evolutionary stage determined by the presence of IR excess, as indicated by certain diagrams. The application of this program can greatly streamline the statistical analysis of young stellar populations across diverse star-forming regions, including distant and deeply embedded ones, which typically require processing large volumes of initial data.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
"Thermal Quarkyonic Matter and Its Implications for Neutron Star Structure","      
      K. Folias, 
      
      Ch. C. Moustakidis","The structure and basic properties of dense nuclear matter still remain one of the open problems of Physics. In particular, the composition of the matter that composes neutron stars is under theoretical and experimental investigation. Among the theories that have been proposed, apart from the classical one where the composition is dominated by hadrons, the existence or coexistence of deconfined quark matter is a dominant guess. An approach towards this solution is the phenomenological view according to which the existence of quarkyonic matter plays a dominant role in the construction of the equation of state (EOS). According to it the structure of the EOS is based on the existence of the quarkyonic particle which is a hybrid state of a particle that combines properties of hadronic and quark matter with a corresponding representation in momentum space. In this paper we propose a phenomenological model for hot quarkyonic matter, borrowed from corresponding applications in hadronic models, where the interaction in the quarkyonic matter depends not only on the position but also on the momentum of the quarkyonic particles. This consideration, as we demonstrate, can have a remarkable consequence on the shape of the EOS and thus on the properties of neutron stars, especially in those for which the effect of temperature is significant, offering a sufficiently flexible model. Comparison with recent observational data can place constraints on the parameterization of the particular model and help improve its reliability.
        △ Less","Submitted 16 November, 2025; 
      originally announced November 2025.","16 November, 2025",2025-11-16,NA,"November 2025",2025-11-01
